,SQuAD1-1,NewsQA,SearchQA,TriviaQA_wiki,HotpotQA,ComplexQuestions,ComplexWebQuestions,ComQA,WikiHop,DROP
SQuAD1-1,0.0,1.9,2.2,1.9,2.4,2.2,2.1,2.3,2.1,2.4
NewsQA,1.9,0.0,2.3,2.0,2.5,2.3,2.1,2.4,2.3,2.4
SearchQA,2.2,2.3,0.0,2.0,2.4,2.3,2.1,2.4,2.4,2.5
TriviaQA_wiki,1.9,2.0,2.0,0.0,2.2,2.1,2.0,2.2,2.1,2.3
HotpotQA,2.4,2.5,2.4,2.2,0.0,2.2,2.3,2.3,2.6,2.6
ComplexQuestions,2.2,2.3,2.3,2.1,2.2,0.0,2.1,2.2,2.4,2.6
ComplexWebQuestions,2.1,2.1,2.1,2.0,2.3,2.1,0.0,2.2,2.3,2.5
ComQA,2.3,2.4,2.4,2.2,2.3,2.2,2.2,0.0,2.5,2.6
WikiHop,2.1,2.3,2.4,2.1,2.6,2.4,2.3,2.5,0.0,2.8
DROP,2.4,2.4,2.5,2.3,2.6,2.6,2.5,2.6,2.8,0.0
